config,raw_limit,margin,hit1,hit3,hit5,hit10,prec10,rec10,mrr10,map10,ndcg10,balanced_score
optA_rewrite_r15_m008,15,0.008,0.55,0.82,0.88,0.91,0.181,0.711833,0.69604,0.512372,0.618405,0.7423677500000001
optA_rewrite_r20_m008,20,0.008,0.55,0.82,0.87,0.91,0.181,0.711833,0.691595,0.507874,0.614733,0.73993695
optA_rewrite_r20_m005,20,0.005,0.54,0.82,0.86,0.91,0.177,0.704167,0.688167,0.502112,0.607888,0.7348600799999999
optA_rewrite_r15_m005,15,0.005,0.53,0.82,0.87,0.91,0.177,0.704167,0.685944,0.504825,0.609545,0.73436736
rewrite_desc_v1,10,0.05,0.47,0.78,0.85,0.89,0.157,0.638833,0.632623,0.417243,0.533181,0.6885717200000001
