Metric,@1 B,@1 D,@1 Δ%,@3 B,@3 D,@3 Δ%,@5 B,@5 D,@5 Δ%,@10 B,@10 D,@10 Δ%
PRECISION,0.2700,0.4000,+48.15%,0.2633,0.2700,+2.53%,0.2180,0.2140,-1.83%,0.1690,0.1300,-23.08%
RECALL,0.1086,0.1866,+71.83%,0.3282,0.3332,+1.52%,0.4323,0.4258,-1.50%,0.6402,0.5059,-20.98%
HIT_RATE,0.2700,0.4000,+48.15%,0.5500,0.6500,+18.18%,0.6400,0.7200,+12.50%,0.8700,0.8200,-5.75%
NDCG,0.2700,0.4000,+48.15%,0.3241,0.3653,+12.69%,0.3622,0.3951,+9.08%,0.4526,0.4288,-5.28%
MRR,0.2700,0.4000,+48.15%,0.3900,0.5050,+29.49%,0.4105,0.5205,+26.80%,0.4434,0.5336,+20.33%
MAP,0.2700,0.4000,+48.15%,0.2656,0.2961,+11.51%,0.2880,0.3105,+7.81%,0.3406,0.3272,-3.94%
